k8s.cluster.name,namespace,env,criticality
Doks-zna-containerization-4-0 PRD Shared,"[""CLOUD_APPLICATION_NAMESPACE-536009F4EF11AD17"",""CLOUD_APPLICATION_NAMESPACE-6E5458BD6EC176B7"",""CLOUD_APPLICATION_NAMESPACE-B1ECA8B47FDFC79C"",""CLOUD_APPLICATION_NAMESPACE-ACD55CB5824FC125"",""CLOUD_APPLICATION_NAMESPACE-FF86F1FEE0F69CD4"",""CLOUD_APPLICATION_NAMESPACE-EF60527FE1BE9F75"",""CLOUD_APPLICATION_NAMESPACE-1B4D480B46C05B32"",""CLOUD_APPLICATION_NAMESPACE-AEED398F6F01C719"",""CLOUD_APPLICATION_NAMESPACE-73455EF16DD8F074"",""CLOUD_APPLICATION_NAMESPACE-76DEEDD9F61BF791"",""CLOUD_APPLICATION_NAMESPACE-D825D700250DBC2B"",""CLOUD_APPLICATION_NAMESPACE-D8C40CE3482ED14D"",""CLOUD_APPLICATION_NAMESPACE-44321178910F201A"",""CLOUD_APPLICATION_NAMESPACE-9E936256834C3968"",""CLOUD_APPLICATION_NAMESPACE-68A71EB9C1765903"",""CLOUD_APPLICATION_NAMESPACE-AB29E43940F0DF4C"",""CLOUD_APPLICATION_NAMESPACE-D7F528FB4D55D48F"",""CLOUD_APPLICATION_NAMESPACE-016012268258F4EB"",""CLOUD_APPLICATION_NAMESPACE-C5B48F50FC659736"",""CLOUD_APPLICATION_NAMESPACE-9AA6E60EAD63BF1A"",""CLOUD_APPLICATION_NAMESPACE-0862829B4B29C7FA"",""CLOUD_APPLICATION_NAMESPACE-78399194E8416405"",""CLOUD_APPLICATION_NAMESPACE-3582A0AB31B5C128"",""CLOUD_APPLICATION_NAMESPACE-D68DE68986921662"",""CLOUD_APPLICATION_NAMESPACE-3D629651BCEFD5C9"",""CLOUD_APPLICATION_NAMESPACE-7C66F89EABEB3989"",""CLOUD_APPLICATION_NAMESPACE-1F89578E540E8151"",""CLOUD_APPLICATION_NAMESPACE-FE39400CDDA92B63"",""CLOUD_APPLICATION_NAMESPACE-688AEA3F20347F39"",""CLOUD_APPLICATION_NAMESPACE-2C5B024FE922C585"",""CLOUD_APPLICATION_NAMESPACE-34DCFDBECD88FB69"",""CLOUD_APPLICATION_NAMESPACE-B9ECB220C7ED9C05"",""CLOUD_APPLICATION_NAMESPACE-0DB190A7044E0E19"",""CLOUD_APPLICATION_NAMESPACE-6058C3F8D3A6BF85"",""CLOUD_APPLICATION_NAMESPACE-BACB849EFC2510D0"",""CLOUD_APPLICATION_NAMESPACE-E9A84199A9056CD1"",""CLOUD_APPLICATION_NAMESPACE-AEE2571FB3EFD8F5"",""CLOUD_APPLICATION_NAMESPACE-B92313AA389D31DC""]",PRD,Low
zPlus UAT 01 APP-4716,"[""CLOUD_APPLICATION_NAMESPACE-9D01A2D852D3433E"",""CLOUD_APPLICATION_NAMESPACE-E218364FAD49ECE7"",""CLOUD_APPLICATION_NAMESPACE-AFF342B7120C553C"",""CLOUD_APPLICATION_NAMESPACE-81A2A295E5B94896"",""CLOUD_APPLICATION_NAMESPACE-BA3649099D902734"",""CLOUD_APPLICATION_NAMESPACE-1669882782677534"",""CLOUD_APPLICATION_NAMESPACE-2DA7C12B66F4B5E4"",""CLOUD_APPLICATION_NAMESPACE-2A947D6E75503BC7"",""CLOUD_APPLICATION_NAMESPACE-8D699124E65750E4"",""CLOUD_APPLICATION_NAMESPACE-55BDA1ACE7D03A00"",""CLOUD_APPLICATION_NAMESPACE-EB0C279DFB014FB1"",""CLOUD_APPLICATION_NAMESPACE-256E8ED3956DB2F4"",""CLOUD_APPLICATION_NAMESPACE-2E9EE1B2C22C5FEA"",""CLOUD_APPLICATION_NAMESPACE-FE4035081F0B846E"",""CLOUD_APPLICATION_NAMESPACE-D03E872C4C38CB5E"",""CLOUD_APPLICATION_NAMESPACE-4963C06CD7291E06""]",PRD,High
Carepoint DEV 01 APP-2455,"[""CLOUD_APPLICATION_NAMESPACE-5A3750517D6535B4"",""CLOUD_APPLICATION_NAMESPACE-A9B0475B9417EB61"",""CLOUD_APPLICATION_NAMESPACE-573CA1CA819B3B13"",""CLOUD_APPLICATION_NAMESPACE-06BD5400D6543120"",""CLOUD_APPLICATION_NAMESPACE-1B2438D36007EC2B"",""CLOUD_APPLICATION_NAMESPACE-F1A72BFA8C8A4A6D"",""CLOUD_APPLICATION_NAMESPACE-7A3CA84F6F8683EC"",""CLOUD_APPLICATION_NAMESPACE-A83524356D881136"",""CLOUD_APPLICATION_NAMESPACE-6B1663BD7DEB0B42"",""CLOUD_APPLICATION_NAMESPACE-FF8C6F0AB76EEC6E"",""CLOUD_APPLICATION_NAMESPACE-128AA5A12E62F88E"",""CLOUD_APPLICATION_NAMESPACE-A86E94CFF6E91289"",""CLOUD_APPLICATION_NAMESPACE-DC4F28FB2DECD77E"",""CLOUD_APPLICATION_NAMESPACE-6DB1945250B20E15"",""CLOUD_APPLICATION_NAMESPACE-64DFD528FDE530FB"",""CLOUD_APPLICATION_NAMESPACE-D4B1CBF9AA5F7FBF""]",PRD,Low
Surety UAT APP-1049,"[""CLOUD_APPLICATION_NAMESPACE-05332E7EADB1D648"",""CLOUD_APPLICATION_NAMESPACE-3F14E87ECA7CF902"",""CLOUD_APPLICATION_NAMESPACE-7716F3E2D84A19D3"",""CLOUD_APPLICATION_NAMESPACE-8EC788212D41EB54"",""CLOUD_APPLICATION_NAMESPACE-4A9705743CAAEFBF"",""CLOUD_APPLICATION_NAMESPACE-97C2169A0BA0D900"",""CLOUD_APPLICATION_NAMESPACE-B786A1B2D1B331D1"",""CLOUD_APPLICATION_NAMESPACE-96325C328D73FEF2"",""CLOUD_APPLICATION_NAMESPACE-D29B0FEBCF80A102"",""CLOUD_APPLICATION_NAMESPACE-A12982207CF4D6A0"",""CLOUD_APPLICATION_NAMESPACE-F1D297B5815D8E47"",""CLOUD_APPLICATION_NAMESPACE-6DA567992C459A5A"",""CLOUD_APPLICATION_NAMESPACE-AE3BBC4E82676CAE"",""CLOUD_APPLICATION_NAMESPACE-E1647BC7DACC6C4A"",""CLOUD_APPLICATION_NAMESPACE-14A9F828E21B7C3C"",""CLOUD_APPLICATION_NAMESPACE-8E1756AE4FFAD302"",""CLOUD_APPLICATION_NAMESPACE-D6775AC769F27CE1"",""CLOUD_APPLICATION_NAMESPACE-5A2EFDD5D9BB2060"",""CLOUD_APPLICATION_NAMESPACE-10B542100010BE60"",""CLOUD_APPLICATION_NAMESPACE-A0A765343C4F44DD"",""CLOUD_APPLICATION_NAMESPACE-A685522351585795""]",PRD,High
Surety DEV APP-1049,"[""CLOUD_APPLICATION_NAMESPACE-3DC5A40B61D9D804"",""CLOUD_APPLICATION_NAMESPACE-A6209F54E5F16C10"",""CLOUD_APPLICATION_NAMESPACE-34DB66BC069E8506"",""CLOUD_APPLICATION_NAMESPACE-3AEA88E5CAB8DA46"",""CLOUD_APPLICATION_NAMESPACE-E36FE94209753749"",""CLOUD_APPLICATION_NAMESPACE-9A2525B4A108D655"",""CLOUD_APPLICATION_NAMESPACE-18A936119A89CB46"",""CLOUD_APPLICATION_NAMESPACE-5E3E11A2880B52C1"",""CLOUD_APPLICATION_NAMESPACE-5C44257AD88429A3"",""CLOUD_APPLICATION_NAMESPACE-80B5A9A3E3531E78"",""CLOUD_APPLICATION_NAMESPACE-A8FDCE3CCA75DB05"",""CLOUD_APPLICATION_NAMESPACE-CD49011B8C884239"",""CLOUD_APPLICATION_NAMESPACE-9AAF70A4BCA49593"",""CLOUD_APPLICATION_NAMESPACE-EF99C942D6BCD15F"",""CLOUD_APPLICATION_NAMESPACE-064DC3E47400CA14"",""CLOUD_APPLICATION_NAMESPACE-E5622622FA2BC829"",""CLOUD_APPLICATION_NAMESPACE-506D14340271B2B5"",""CLOUD_APPLICATION_NAMESPACE-74A802EF5B8DA48B"",""CLOUD_APPLICATION_NAMESPACE-61C2DA595A513720"",""CLOUD_APPLICATION_NAMESPACE-3E8A1251E7E43197"",""CLOUD_APPLICATION_NAMESPACE-9695709A6D5516AA"",""CLOUD_APPLICATION_NAMESPACE-43B9839EF96E6282""]",PRD,Low
zna-aks-cnd-p04,"[""CLOUD_APPLICATION_NAMESPACE-272A8F7390DB25F0"",""CLOUD_APPLICATION_NAMESPACE-93A3606E38C07A2B"",""CLOUD_APPLICATION_NAMESPACE-BE12DEDEE5F08EE8"",""CLOUD_APPLICATION_NAMESPACE-D51859C3D5210F6D"",""CLOUD_APPLICATION_NAMESPACE-66457902200E6D69"",""CLOUD_APPLICATION_NAMESPACE-1EE236D5A073E83F"",""CLOUD_APPLICATION_NAMESPACE-99E874E1818E5102"",""CLOUD_APPLICATION_NAMESPACE-76D92A07D67E11C5"",""CLOUD_APPLICATION_NAMESPACE-7D6591C3D8AACBA9"",""CLOUD_APPLICATION_NAMESPACE-DF1767A30F0705BE""]",PRD,Low
Carepoint PRD 01 APP-2455,"[""CLOUD_APPLICATION_NAMESPACE-C6F785595EE7945F"",""CLOUD_APPLICATION_NAMESPACE-106D2A37EC6B1E01"",""CLOUD_APPLICATION_NAMESPACE-6910B2E4011F5518"",""CLOUD_APPLICATION_NAMESPACE-C0FB649D12C6F2B3"",""CLOUD_APPLICATION_NAMESPACE-1764C94FE64B0F14"",""CLOUD_APPLICATION_NAMESPACE-94C5FFC8AB3EB627"",""CLOUD_APPLICATION_NAMESPACE-E7B4E1203E95E805"",""CLOUD_APPLICATION_NAMESPACE-B45AE54D1B05E890"",""CLOUD_APPLICATION_NAMESPACE-4DC4C22ACFA54320"",""CLOUD_APPLICATION_NAMESPACE-34AE9820B0812A67"",""CLOUD_APPLICATION_NAMESPACE-09B3688807DD910E"",""CLOUD_APPLICATION_NAMESPACE-773164047F503234"",""CLOUD_APPLICATION_NAMESPACE-3A04749CFC385828"",""CLOUD_APPLICATION_NAMESPACE-3C7B0CA9593507CF"",""CLOUD_APPLICATION_NAMESPACE-B92C1E00531361F4""]",PRD,Low
zPlus Dev 01 APP-4716,"[""CLOUD_APPLICATION_NAMESPACE-7D44CCCBCAAA412B"",""CLOUD_APPLICATION_NAMESPACE-D70D514FC321FCF2"",""CLOUD_APPLICATION_NAMESPACE-4DDC77F288F8C3C4"",""CLOUD_APPLICATION_NAMESPACE-541F9702EA501A39"",""CLOUD_APPLICATION_NAMESPACE-E2610DCAC90C5257"",""CLOUD_APPLICATION_NAMESPACE-57486855F47CD39A"",""CLOUD_APPLICATION_NAMESPACE-5EE8D4C20E29C57C"",""CLOUD_APPLICATION_NAMESPACE-EEABC98C861B05A2"",""CLOUD_APPLICATION_NAMESPACE-683F20645B1AF7DA"",""CLOUD_APPLICATION_NAMESPACE-DA3212D356193DAB"",""CLOUD_APPLICATION_NAMESPACE-69B48061B71BCD33"",""CLOUD_APPLICATION_NAMESPACE-53101C2AE19C3822"",""CLOUD_APPLICATION_NAMESPACE-B8601162B39A9931"",""CLOUD_APPLICATION_NAMESPACE-6C4353C3C09BBEFA"",""CLOUD_APPLICATION_NAMESPACE-95A2D2F656BB4FCC""]",PRD,null
Riskportrait DEV APP-1107,"[""CLOUD_APPLICATION_NAMESPACE-41728F138E6590DA"",""CLOUD_APPLICATION_NAMESPACE-7E6F8A9AE4F6F694"",""CLOUD_APPLICATION_NAMESPACE-996801AC62A79476"",""CLOUD_APPLICATION_NAMESPACE-D498144AD6E593C0"",""CLOUD_APPLICATION_NAMESPACE-AAEB995EFE06F527"",""CLOUD_APPLICATION_NAMESPACE-E1B5266CB49CD135"",""CLOUD_APPLICATION_NAMESPACE-3909905B2B3E4477"",""CLOUD_APPLICATION_NAMESPACE-FDDBF9F0B196ABC0"",""CLOUD_APPLICATION_NAMESPACE-1A2D52A8642905A0"",""CLOUD_APPLICATION_NAMESPACE-02BC6995C436F605"",""CLOUD_APPLICATION_NAMESPACE-4619C317182E9995"",""CLOUD_APPLICATION_NAMESPACE-CFEE4A86831C1347"",""CLOUD_APPLICATION_NAMESPACE-5D1E941BCA5CFD4B""]",PRD,High
Elastic Search PRD COM-6935,"[""CLOUD_APPLICATION_NAMESPACE-5C9A1677E374E075"",""CLOUD_APPLICATION_NAMESPACE-9E3739E4B1D45210"",""CLOUD_APPLICATION_NAMESPACE-F6538B00BD5F61DB"",""CLOUD_APPLICATION_NAMESPACE-1D3FF71D6BC28A46"",""CLOUD_APPLICATION_NAMESPACE-5A95D8D6D06BB298"",""CLOUD_APPLICATION_NAMESPACE-69187ECB0D4553A0"",""CLOUD_APPLICATION_NAMESPACE-02C1526B184D08B6"",""CLOUD_APPLICATION_NAMESPACE-AA7C3C4239249DE1"",""CLOUD_APPLICATION_NAMESPACE-356E251095281D12"",""CLOUD_APPLICATION_NAMESPACE-4B72FFD39FD4792D"",""CLOUD_APPLICATION_NAMESPACE-18B28A7FEFAAEDB5""]",PRD,Low
Morpheus DEV 03 APP-1544,"[""CLOUD_APPLICATION_NAMESPACE-876349F9E956D6BE"",""CLOUD_APPLICATION_NAMESPACE-CCF862C4A6718AAF"",""CLOUD_APPLICATION_NAMESPACE-6EFE8A22F4EAE64B"",""CLOUD_APPLICATION_NAMESPACE-747C4E1C6640D97E"",""CLOUD_APPLICATION_NAMESPACE-3333E9277B11F19E"",""CLOUD_APPLICATION_NAMESPACE-0634751125225A55"",""CLOUD_APPLICATION_NAMESPACE-35A30BA028B99984"",""CLOUD_APPLICATION_NAMESPACE-B8820882D1281A76"",""CLOUD_APPLICATION_NAMESPACE-08048C29B41C1381"",""CLOUD_APPLICATION_NAMESPACE-E568D1F4558358DD"",""CLOUD_APPLICATION_NAMESPACE-582E3D0F7391984C""]",PRD,Low
Surety QA APP-1049,"[""CLOUD_APPLICATION_NAMESPACE-7D9D293C97AB98B5"",""CLOUD_APPLICATION_NAMESPACE-348885270A3C500F"",""CLOUD_APPLICATION_NAMESPACE-C001CE72839066D1"",""CLOUD_APPLICATION_NAMESPACE-EB0F9011AC9517BF"",""CLOUD_APPLICATION_NAMESPACE-56D93CC7B1B057DA"",""CLOUD_APPLICATION_NAMESPACE-2E17F93E601B6745"",""CLOUD_APPLICATION_NAMESPACE-8635DB3E70312FED"",""CLOUD_APPLICATION_NAMESPACE-4631C41110AA07E0"",""CLOUD_APPLICATION_NAMESPACE-9BE1157244812F4A"",""CLOUD_APPLICATION_NAMESPACE-ECDE941D2AEAC38D"",""CLOUD_APPLICATION_NAMESPACE-F74EAB884B8E2BF6"",""CLOUD_APPLICATION_NAMESPACE-223DBB4B81E71441"",""CLOUD_APPLICATION_NAMESPACE-EDDC1B3D82C23A1B"",""CLOUD_APPLICATION_NAMESPACE-BC3E16872B962BFD"",""CLOUD_APPLICATION_NAMESPACE-35E78B1500A0CE9F"",""CLOUD_APPLICATION_NAMESPACE-F71DA77B895D9F9D"",""CLOUD_APPLICATION_NAMESPACE-01421CE47E4369CC"",""CLOUD_APPLICATION_NAMESPACE-E24F2DED371FAB74"",""CLOUD_APPLICATION_NAMESPACE-3F02B023D118293A"",""CLOUD_APPLICATION_NAMESPACE-B6171889A501A5F4"",""CLOUD_APPLICATION_NAMESPACE-CACDEDA3689072B5"",""CLOUD_APPLICATION_NAMESPACE-428183E0FC9FAC74""]",PRD,Low
Riskportrait QA APP-1107,"[""CLOUD_APPLICATION_NAMESPACE-19DCB26AA3FCD479"",""CLOUD_APPLICATION_NAMESPACE-2EF5851436352F67"",""CLOUD_APPLICATION_NAMESPACE-F0F95CEA5C93A437"",""CLOUD_APPLICATION_NAMESPACE-EAEFCB4B6AE8795E"",""CLOUD_APPLICATION_NAMESPACE-173D9C732000483B"",""CLOUD_APPLICATION_NAMESPACE-6DD3C9466BA5D537"",""CLOUD_APPLICATION_NAMESPACE-5218C3D2A35D79CE"",""CLOUD_APPLICATION_NAMESPACE-81C22FCDCE7A5824"",""CLOUD_APPLICATION_NAMESPACE-F1EC379C1910B9A1"",""CLOUD_APPLICATION_NAMESPACE-1FE70801AB824184"",""CLOUD_APPLICATION_NAMESPACE-C44D63B6605AFE25"",""CLOUD_APPLICATION_NAMESPACE-478D2EDAFC55A549"",""CLOUD_APPLICATION_NAMESPACE-B8855102CEE10D12"",""CLOUD_APPLICATION_NAMESPACE-3D2DA4322384B234"",""CLOUD_APPLICATION_NAMESPACE-A8B113623EAE53D5"",""CLOUD_APPLICATION_NAMESPACE-0014D7CE5719602B""]",PRD,High
Morpheus DEV 02 APP-1544,"[""CLOUD_APPLICATION_NAMESPACE-9EC2F8D09239FB0D"",""CLOUD_APPLICATION_NAMESPACE-56C3A9D1898E789D"",""CLOUD_APPLICATION_NAMESPACE-7A0F441DDC0E3044"",""CLOUD_APPLICATION_NAMESPACE-E05CD70B05E909BE"",""CLOUD_APPLICATION_NAMESPACE-628015C056B22BFD"",""CLOUD_APPLICATION_NAMESPACE-B03824D56C0F3617"",""CLOUD_APPLICATION_NAMESPACE-704D99E8FA1B97BA"",""CLOUD_APPLICATION_NAMESPACE-741B46D056213916"",""CLOUD_APPLICATION_NAMESPACE-C75D7E1E37D6F29A"",""CLOUD_APPLICATION_NAMESPACE-87E694C664C2E9BD"",""CLOUD_APPLICATION_NAMESPACE-42180783439E6EEF"",""CLOUD_APPLICATION_NAMESPACE-94B87436C3894DE7""]",PRD,null
Flexgateway DEV 02 COM-5372,"[""CLOUD_APPLICATION_NAMESPACE-7A5923E1B92BC474"",""CLOUD_APPLICATION_NAMESPACE-460B6282D053C8ED"",""CLOUD_APPLICATION_NAMESPACE-BED3847A9E2BF275"",""CLOUD_APPLICATION_NAMESPACE-26C44800BD69FBDB"",""CLOUD_APPLICATION_NAMESPACE-E37F95EF8A877A4A"",""CLOUD_APPLICATION_NAMESPACE-138CF1300BE4A9E6"",""CLOUD_APPLICATION_NAMESPACE-C6D6B7123DE4DDB0"",""CLOUD_APPLICATION_NAMESPACE-F31593B1038AE214""]",PRD,High
Morpheus QA 03 APP-1544,"[""CLOUD_APPLICATION_NAMESPACE-C62A9E0C8334EEBD"",""CLOUD_APPLICATION_NAMESPACE-FD5B4E8C86883409"",""CLOUD_APPLICATION_NAMESPACE-2748F7221BA59720"",""CLOUD_APPLICATION_NAMESPACE-C18CB73C515A7294"",""CLOUD_APPLICATION_NAMESPACE-B2788EA64EE0E056"",""CLOUD_APPLICATION_NAMESPACE-4AD2577F99BB577D"",""CLOUD_APPLICATION_NAMESPACE-7C3A7F1010DAD06C"",""CLOUD_APPLICATION_NAMESPACE-050AEF954D355B73"",""CLOUD_APPLICATION_NAMESPACE-C40077F6C146E188"",""CLOUD_APPLICATION_NAMESPACE-1024B510BBC758F8"",""CLOUD_APPLICATION_NAMESPACE-BBE776A62719B6BD"",""CLOUD_APPLICATION_NAMESPACE-FB82B9ADFFE4479F"",""CLOUD_APPLICATION_NAMESPACE-DA0E8EC01273B41A"",""CLOUD_APPLICATION_NAMESPACE-A10AC43888E82548""]",PRD,Low