entity.name,id,env
Morpheus QA 02 COM-1544,KUBERNETES_CLUSTER-1CFDC5E1EA1A2E72,PRD
Doks-zna-containerization-4-0 NP Shared,KUBERNETES_CLUSTER-21EFEC28ABDC6DF6,PRD
Carepoint DEV 01 APP-2455,KUBERNETES_CLUSTER-00189A74843A8C27,PRD
Flexgateway QA 03 COM-5372,KUBERNETES_CLUSTER-F3D699E43EB74DB6,PRD
Riskportrait DEV APP-1107,KUBERNETES_CLUSTER-8222A2C9C9A124F8,PRD
ZCam Dev 05 APP-11579,KUBERNETES_CLUSTER-8C86808FACE8309B,PRD
ZAPI DEV COM-6105,KUBERNETES_CLUSTER-165B9EF296F0FFFC,PRD
Doks-zna-containerization-4-0 PRD Shared,KUBERNETES_CLUSTER-BA47332746C798D0,PRD
ZSearch PRD APP-8697,KUBERNETES_CLUSTER-57E34F2A56830972,PRD
Flexgateway DEV 02 COM-5372,KUBERNETES_CLUSTER-A827D1F3608B3EE0,PRD
Nordic DEV APP-4120,KUBERNETES_CLUSTER-CF6F13DF7D63A331,PRD
zPlus PRD 01 COM-4716,KUBERNETES_CLUSTER-E52CA91C2B44EE48,PRD
ClaimsConnect DEV 02 APP-4982,KUBERNETES_CLUSTER-1AE807F047F1B446,PRD
zna-aks-cnd-p04,KUBERNETES_CLUSTER-9776981E1A6814A2,PRD
Morpheus UAT 01 APP-1544,KUBERNETES_CLUSTER-E021A32BD379441D,PRD
Surety UAT APP-1049,KUBERNETES_CLUSTER-FFEF0324F68A5487,PRD
zna-aks-ecl-p01,KUBERNETES_CLUSTER-70D540B2480A7285,PRD
Flexgateway QA 04 COM-5372,KUBERNETES_CLUSTER-DA143D861571BA9B,PRD
zPlus QA 01 APP-4716,KUBERNETES_CLUSTER-2E2312B3371DC820,PRD
Morpheus QA 01 APP-1544,KUBERNETES_CLUSTER-82A1A97AA73107C6,PRD
Flexgateway PRD 02 COM-5372,KUBERNETES_CLUSTER-AE157B28C34BC6C4,PRD
Nordic QA APP-4120,KUBERNETES_CLUSTER-058206B847DF6894,PRD
ZSearch QA 01 APP-8697,KUBERNETES_CLUSTER-13D364A010641F61,PRD
Elastic Search QA COM-6935,KUBERNETES_CLUSTER-1E1B9C543B15014C,PRD
Surety HotFix APP-1049,KUBERNETES_CLUSTER-13001BBD8D5C119C,PRD
Morpheus QA 03 APP-1544,KUBERNETES_CLUSTER-C90A659B512E3EE2,PRD
ZAPI QA COM-6105,KUBERNETES_CLUSTER-3949666385CEF739,PRD
DDC QA 04 APP-1036,KUBERNETES_CLUSTER-52754F3E2B11F185,PRD
Surety QA APP-1049,KUBERNETES_CLUSTER-11DE76B556E9987C,PRD
Surety PRD APP-1049,KUBERNETES_CLUSTER-432E4069CB30F84B,PRD
zPlus UAT 01 APP-4716,KUBERNETES_CLUSTER-5F03418F3F438C53,PRD
Carepoint PRD 01 APP-2455,KUBERNETES_CLUSTER-128F9C8F94D27314,PRD
ZAPI PRD COM-6105,KUBERNETES_CLUSTER-6588525CDAF1DA2A,PRD
Riskportrait PRD APP-1107,KUBERNETES_CLUSTER-22315810BF6E8C8A,PRD
Morpheus Perf 01 APP-1544,KUBERNETES_CLUSTER-7DC8EA0F7869A54F,PRD
Surety DEV APP-1049,KUBERNETES_CLUSTER-F288C3ADFADC9BB9,PRD
Morpheus DEV 03 APP-1544,KUBERNETES_CLUSTER-0F53C8A1A4850F2E,PRD
ClaimsConnect QA 01 APP-4982,KUBERNETES_CLUSTER-5437A271DC4A1EC7,PRD
Carepoint QA 01 APP-2455,KUBERNETES_CLUSTER-C8938354A1F82BDE,PRD
Morpheus PRD APP-1544,KUBERNETES_CLUSTER-3B2D3F6E0BEFA50C,PRD
zna-aks-claimsconnect-p02,KUBERNETES_CLUSTER-E7291FCD384B05CA,PRD
ZCam PRD 01 APP-11579,KUBERNETES_CLUSTER-2697DC0CF689C4D8,PRD
Morpheus TRN APP-1544,KUBERNETES_CLUSTER-E5BA367FCCA4F5AB,PRD
Riskportrait QA APP-1107,KUBERNETES_CLUSTER-1382A295B5BBD3E5,PRD
zPlus Dev 01 APP-4716,KUBERNETES_CLUSTER-3A323ECA10C07C7F,PRD
Morpheus DEV 02 APP-1544,KUBERNETES_CLUSTER-46FA80314087A005,PRD
Nordic PRD APP-4120,KUBERNETES_CLUSTER-D72C58494FBBBE9E,PRD